"ID","Created Date","Updated Date","Owner","gateway","Lockid","Lockname","Electricquantity","Type","Hasgateway","Lockalias","client","active","Childmeter"
"001a5e44-3fdc-4a48-ad41-67eeac0a509d",2025-09-17T05:49:13Z,2026-02-20T07:52:17Z,"a1b06860-22d8-4493-ae60-65dfd19af60e","f0c83c84-9fc8-4960-b932-16b6a1c375bd",4659489,"J301_d06feb",45,"Smartlock",true,"MBV B2-19-12","817f6510-47ac-4f8f-9828-d2fd91cb406f",,
"016da8ab-89be-4f3f-935a-7c95427dce9c",2025-09-17T05:49:13Z,2026-02-20T07:52:17Z,"a1b06860-22d8-4493-ae60-65dfd19af60e",,6901560,"J301_c3aaa1",40,"Smartlock",false,"PS A 18-05","817f6510-47ac-4f8f-9828-d2fd91cb406f",,
"227da86c-e778-42fa-9829-abdc84b5b822",2025-09-17T05:49:12Z,2026-02-20T07:52:17Z,"a1b06860-22d8-4493-ae60-65dfd19af60e",,10704892,"J301_39b620",55,"Smartlock",false,"PS B-23-07","817f6510-47ac-4f8f-9828-d2fd91cb406f",,
"3d7063c5-0e66-4550-af24-aaf1b65ca389",2025-09-21T08:47:09Z,2026-02-20T07:52:17Z,"a1b06860-22d8-4493-ae60-65dfd19af60e","0be258ea-5f13-415f-af30-ac386a03a555",10781736,"M102_3aa4fd",0,"Smartlock",true,"AR B-13-07","817f6510-47ac-4f8f-9828-d2fd91cb406f",,
"3e6af5e6-a829-443a-8b6e-a4af779cb4f8",2026-01-28T09:30:51Z,2026-02-20T07:52:17Z,"bad279a4-e309-4354-a70f-2a1b0818317f",,,,,,,"test child 1","817f6510-47ac-4f8f-9828-d2fd91cb406f",true,
"491425c8-37bd-4629-b55c-c9c733ed3ac6",2025-10-23T03:43:04Z,2026-02-20T07:52:17Z,"a1b06860-22d8-4493-ae60-65dfd19af60e",,24388362,"J301_05d911",85,"Smartlock",false,"PS B2703","817f6510-47ac-4f8f-9828-d2fd91cb406f",,
"58bd743b-7020-45ad-af5e-4b8f06ebea67",2025-09-17T05:49:07Z,2026-02-20T07:52:17Z,"a1b06860-22d8-4493-ae60-65dfd19af60e",,22345993,"J301_97e93d",100,"Smartlock",false,"PS A-29-05","817f6510-47ac-4f8f-9828-d2fd91cb406f",,
"6a509c60-803f-444a-bb8c-a8dfb7c010cd",2026-01-28T09:30:51Z,2026-02-20T07:52:17Z,"bad279a4-e309-4354-a70f-2a1b0818317f",,,,,,,"test child 2","817f6510-47ac-4f8f-9828-d2fd91cb406f",true,
"7f174d79-96db-4ff6-8dd6-0f9dd43991a0",2025-09-22T08:10:37Z,2026-02-20T07:52:17Z,"bad279a4-e309-4354-a70f-2a1b0818317f","bb8ed850-e2bf-4319-bad3-1371900c2fb3",7330130,"J301_4758dc",95,"Smartlock",true,"PS A-18-05","817f6510-47ac-4f8f-9828-d2fd91cb406f",,
"9f2e1b7f-2847-4386-8f3c-dacbc191ab28",2025-08-18T09:23:21Z,2026-02-20T07:52:17Z,"bad279a4-e309-4354-a70f-2a1b0818317f",,17140596,"J301_29d801",100,"Smartlock",false,"office demo","817f6510-47ac-4f8f-9828-d2fd91cb406f",,
"a03ac5f9-9aa2-42da-bc68-5e9a423130fe",2025-09-17T05:49:08Z,2026-02-20T07:52:17Z,"a1b06860-22d8-4493-ae60-65dfd19af60e","e889d7d2-e081-4937-b566-daa942469e44",15520938,"J301_b9ce07",50,"Smartlock",true,"MBV B1-22-09","817f6510-47ac-4f8f-9828-d2fd91cb406f",,
"a9ae43b7-a1a2-461e-adda-814f02e50f16",2025-09-17T05:49:11Z,2026-02-20T07:52:17Z,"a1b06860-22d8-4493-ae60-65dfd19af60e","cb2a95af-0614-465f-8cd4-e55e1de2ff97",11181538,"J301_061460",60,"Smartlock",true,"SKS B-21-01","817f6510-47ac-4f8f-9828-d2fd91cb406f",,
"b20424f4-acb8-4293-9761-9a75e2028c91",2025-09-21T08:49:16Z,2026-02-20T07:52:17Z,"a1b06860-22d8-4493-ae60-65dfd19af60e","a8ec3f8e-9c7a-49ba-a868-5b0ad1ef1ac9",25754792,"J301_398c86",95,"Smartlock",true,"MBV B1-10-05","817f6510-47ac-4f8f-9828-d2fd91cb406f",,
"c8e7e285-9ff6-4ce5-b722-611e894cb0a4",2026-02-20T07:51:11Z,2026-02-20T07:52:17Z,"bad279a4-e309-4354-a70f-2a1b0818317f","2f727915-4a46-4c4c-bf47-24cd6c9f9db2",29496992,"J301_bd058b",100,"Smartlock",true,"PS A 29-05","817f6510-47ac-4f8f-9828-d2fd91cb406f",,
"eb8875dc-ce85-44e7-ae4f-6dd3c3a26761",2025-09-17T05:49:09Z,2026-02-20T07:52:17Z,"a1b06860-22d8-4493-ae60-65dfd19af60e","a500c50d-a689-492f-aa9d-acb729a620b4",15520560,"J301_2c9054",60,"Smartlock",true,"MBV B1-07-13a","817f6510-47ac-4f8f-9828-d2fd91cb406f",,
"f825bdb1-5ba6-40c2-8ba3-0d84dcdd44f8",2025-09-17T05:49:11Z,2026-02-20T07:52:17Z,"a1b06860-22d8-4493-ae60-65dfd19af60e","01d55505-6655-4fd1-bcb2-f7842b54fcc1",12563723,"J301_50b52d",45,"Smartlock",true,"MBV B1-20-03a","817f6510-47ac-4f8f-9828-d2fd91cb406f",,
"f9e7ca6d-d8a3-43e7-b985-03a4b2e74dc0",2025-09-22T08:10:28Z,2026-02-20T07:52:17Z,"bad279a4-e309-4354-a70f-2a1b0818317f",,25570120,"J301_da0097",75,"Smartlock",false,"PS A-29-05 new","817f6510-47ac-4f8f-9828-d2fd91cb406f",,
