SettlementDate,TransactionDate,MID,Merchant,SubMID,SubMerchant,SettledBy,Type,Description,SettlementId,TransactionId,ReferenceNumber,MandateReferenceNumber,CollectionNumber,CollectionReferenceNumber,TxnType,BaseCurrency,BaseAmount,BaseMDR,Currency,Gross,MDR,Comm,Net,NetPayex,NetOthers
31/12/2025,30/12/2025,1605601,COLIVING MANAGEMENT SDN.BHD.,,,Payex,Settlement,Settlement for 31 Dec 2025,BA160560120251231,PX16056012b983a628f0,RC-mjs4yago,,,,FPX,MYR,700,1.2,MYR,700,1.2,0,698.8,698.8,0
31/12/2025,30/12/2025,1605601,COLIVING MANAGEMENT SDN.BHD.,,,Payex,Settlement,Settlement for 31 Dec 2025,BA160560120251231,PX16056015962412cb35,MT_1767026765895,,,,FPX,MYR,10,1.2,MYR,10,1.2,0,8.8,8.8,0
31/12/2025,30/12/2025,1605601,COLIVING MANAGEMENT SDN.BHD.,,,Payex,Settlement,Settlement for 31 Dec 2025,BA160560120251231,PX16056017c7ad6e88e8,MT_1767098287881,,,,Touch 'n Go eWallet,MYR,10,0.13,MYR,10,0.13,0,9.87,9.87,0
30/12/2025,29/12/2025,1605601,COLIVING MANAGEMENT SDN.BHD.,,,Payex,Settlement,Settlement for 30 Dec 2025,BA160560120251230,PX16056017485f784685,MT_1767013004036,,,,Touch 'n Go eWallet,MYR,10,0.13,MYR,10,0.13,0,9.87,9.87,0
30/12/2025,27/12/2025,1605601,COLIVING MANAGEMENT SDN.BHD.,,,Payex,Settlement,Settlement for 30 Dec 2025,BA160560120251230,PX16056015800918c341,MT_1766849918815,,,,Malaysian Debit Card,MYR,30,0.36,MYR,30,0.36,0,29.64,29.64,0
30/12/2025,29/12/2025,1605601,COLIVING MANAGEMENT SDN.BHD.,,,Payex,Settlement,Settlement for 30 Dec 2025,BA160560120251230,PX160560104ca06b4ab2,RC-mjr8fqx9,,,,FPX,MYR,900,1.2,MYR,900,1.2,0,898.8,898.8,0
30/12/2025,29/12/2025,1605601,COLIVING MANAGEMENT SDN.BHD.,,,Payex,Settlement,Settlement for 30 Dec 2025,BA160560120251230,PX160560184b253dac6a,RC-mjrap9y4,,,,FPX,MYR,500,1.2,MYR,500,1.2,0,498.8,498.8,0
30/12/2025,29/12/2025,1605601,COLIVING MANAGEMENT SDN.BHD.,,,Payex,Settlement,Settlement for 30 Dec 2025,BA160560120251230,PX160560188807be6e31,RC-mjrby4o5,,,,FPX,MYR,600,1.2,MYR,600,1.2,0,598.8,598.8,0
30/12/2025,29/12/2025,1605601,COLIVING MANAGEMENT SDN.BHD.,,,Payex,Settlement,Settlement for 30 Dec 2025,BA160560120251230,PX1605601e68c19d5422,MT_1767020124820,,,,FPX,MYR,100,1.2,MYR,100,1.2,0,98.8,98.8,0
29/12/2025,27/12/2025,1605601,COLIVING MANAGEMENT SDN.BHD.,,,Payex,Settlement,Settlement for 29 Dec 2025,BA160560120251229,PX1605601da984d83c89,MT_1766776481909,,,,FPX,MYR,10,1.2,MYR,10,1.2,0,8.8,8.8,0
29/12/2025,28/12/2025,1605601,COLIVING MANAGEMENT SDN.BHD.,,,Payex,Settlement,Settlement for 29 Dec 2025,BA160560120251229,PX1605601dbb2a282914,RC-mjp4mhgx,,,,FPX,MYR,600,1.2,MYR,600,1.2,0,598.8,598.8,0
29/12/2025,26/12/2025,1605601,COLIVING MANAGEMENT SDN.BHD.,,,Payex,Settlement,Settlement for 29 Dec 2025,BA160560120251229,PX160560190e4af6ae11,MT_1766742377301,,,,FPX,MYR,10,1.2,MYR,10,1.2,0,8.8,8.8,0
29/12/2025,27/12/2025,1605601,COLIVING MANAGEMENT SDN.BHD.,,,Payex,Settlement,Settlement for 29 Dec 2025,BA160560120251229,PX1605601a66061fb884,RC-mjnib197,,,,FPX,MYR,1000,1.2,MYR,1000,1.2,0,998.8,998.8,0
29/12/2025,26/12/2025,1605601,COLIVING MANAGEMENT SDN.BHD.,,,Payex,Settlement,Settlement for 29 Dec 2025,BA160560120251229,PX1605601b1fdbf751b4,MT_1766718244732,,,,FPX,MYR,20,1.2,MYR,20,1.2,0,18.8,18.8,0
29/12/2025,28/12/2025,1605601,COLIVING MANAGEMENT SDN.BHD.,,,Payex,Settlement,Settlement for 29 Dec 2025,BA160560120251229,PX16056010557116993f,RC-mjok2h1t,,,,FPX,MYR,600,1.2,MYR,600,1.2,0,598.8,598.8,0
