"title","tenant","room","Date","Created Date","isPaid","amount","Paidat","receipturl","invoiceid","ID","invoiceurl","property","tenancy","type","Accountid","Productid","referenceid","Bukku_invoice_id","Updated Date","Owner","client"
"August 2026 - Rental Income","ef8f0650-f7c5-4666-a224-91f67eba8872","f8dbb89a-a49c-44e0-944a-5665241eafd7",2026-08-01T00:00:00Z,2025-09-14T15:19:54Z,,700,,,"IV-00938","0066466d-a296-43b4-876a-ed45a5a39d92","https://colivingmanagement.bukku.my/l/cynE1FUbQH","6db13fb0-3b98-43ff-b84c-7e4b5560a3b6","9a4c5001-77e7-4b61-a38e-ea1df717602a","cf4141b1-c24e-4fc1-930e-cfea4329b178",53,1,,6749,2026-02-19T08:59:02Z,"bad279a4-e309-4354-a70f-2a1b0818317f","817f6510-47ac-4f8f-9828-d2fd91cb406f"
"May 2026 - Rental Income","ef8f0650-f7c5-4666-a224-91f67eba8872","f8dbb89a-a49c-44e0-944a-5665241eafd7",2026-05-01T00:00:00Z,2025-09-14T15:19:54Z,,700,,,"IV-00875","00efd7d9-4d14-45f4-b2ff-50c19ec2abe1","https://colivingmanagement.bukku.my/l/ciiJ5zlKV9","6db13fb0-3b98-43ff-b84c-7e4b5560a3b6","9a4c5001-77e7-4b61-a38e-ea1df717602a","cf4141b1-c24e-4fc1-930e-cfea4329b178",53,1,,6686,2026-02-19T08:59:02Z,"bad279a4-e309-4354-a70f-2a1b0818317f","817f6510-47ac-4f8f-9828-d2fd91cb406f"
"September - Jalan Kuning Jalan Kuning Master Room 1 - Rental Income","a4b383a8-6ff0-457c-bb10-a5f872fbd5b3","6b4a6637-2dbf-4913-9512-6b06abbafabd",2026-09-01T04:00:00Z,2025-11-07T07:28:57Z,,600,,,"IV-02473","00f90d0a-0e41-4075-9406-a8b1ab4c59ef","https://colivingmanagement.bukku.my/l/cQGgjvTtgt","6db13fb0-3b98-43ff-b84c-7e4b5560a3b6","e32cc057-6fb0-48b1-89db-543cc21af02d","cf4141b1-c24e-4fc1-930e-cfea4329b178",53,1,,10248,2026-02-19T08:59:02Z,"f7e698cb-0d8d-42d1-91c8-b9ff12f1486f","817f6510-47ac-4f8f-9828-d2fd91cb406f"
"March - Meridin Bayvue B1-10-05 Master Room - Rental Income","acd1c031-63a5-49e7-b384-14f2a60afae0","7e68c424-aa3d-4ef6-bdd2-b6e4b0b621f6",2026-03-01T04:00:00Z,2025-10-30T04:17:59Z,,800,,,"IV-02458","0126d417-68e3-4d00-97d5-27046affbcd7","https://colivingmanagement.bukku.my/l/a_aAPUSVKe","beaf7c8c-e161-4e8f-b30e-376c0d94be25","26e78ff1-68a4-43bc-a855-7516a19b4c64","cf4141b1-c24e-4fc1-930e-cfea4329b178",53,1,,10233,2026-02-19T08:59:02Z,"f7e698cb-0d8d-42d1-91c8-b9ff12f1486f","817f6510-47ac-4f8f-9828-d2fd91cb406f"
"January - Paragon Suite A-29-05 Small Room - Rental Income","4d2834cf-8c4a-4eb8-be1e-628d05f660d4","1dd25e1b-ec08-4bfb-981a-47eb98f21d73",2026-01-01T00:00:00Z,2025-11-03T01:33:16Z,true,500,2026-01-04T11:36:16Z,"https://colivingmanagement.bukku.my/l/aul3A1sZsM","IV-02152","0279563d-cc5b-4e4f-9b11-6ba4f635a09d","https://colivingmanagement.bukku.my/l/cExBo44odh","5981792a-cba0-4215-b391-e6c352f3f3bb","5f9cd58d-1dad-46ec-802b-cfd37e7a1387","cf4141b1-c24e-4fc1-930e-cfea4329b178",53,1,"RC-mjznnzme",9655,2026-02-19T08:59:02Z,"f7e698cb-0d8d-42d1-91c8-b9ff12f1486f","817f6510-47ac-4f8f-9828-d2fd91cb406f"
"March 2026 - Rental Income","782af970-3f7b-4206-bbb6-79daa4a25346","1c007afd-735e-4e70-b7e4-0d849b2efceb",2026-03-01T00:00:00Z,2025-09-14T15:20:36Z,,700,,,"IV-01010","02bbd5e7-7b50-45d9-bd14-9e3df1259e25","https://colivingmanagement.bukku.my/l/aZxWIHZoV5","e83a5d2c-dd1e-422e-b3de-eeb6438cc45e","917b3154-a042-4f26-8c55-2d377fb5ac77","cf4141b1-c24e-4fc1-930e-cfea4329b178",53,1,,6821,2026-02-19T08:59:02Z,"bad279a4-e309-4354-a70f-2a1b0818317f","817f6510-47ac-4f8f-9828-d2fd91cb406f"
"October - Meridin Bayvue B2-19-12 Small Room - Rental Income","6d386287-5491-484c-88cf-3877890cf838","cfa07d63-8e83-45d4-a49d-98d5f97d3e89",2025-10-31T16:00:00Z,2025-10-02T03:51:55Z,true,19,2025-10-04T00:26:13Z,"https://colivingmanagement.bukku.my/l/akojiTY_OX","IV-01624","02f32ed2-0c64-4a08-98ae-aed3cc291be9","https://colivingmanagement.bukku.my/l/dUXIh_Qhl3","4155d4f3-9438-448a-8c5e-d49dd1272646","a6a7142a-219c-4f8f-8315-9cda36e3d838","cf4141b1-c24e-4fc1-930e-cfea4329b178",53,1,"RC-mgbiyyhi",7777,2026-02-19T08:59:02Z,"f7e698cb-0d8d-42d1-91c8-b9ff12f1486f","817f6510-47ac-4f8f-9828-d2fd91cb406f"
"Mar 2026 - Meridin Bayvue B1-22-09 Master Room - Rental Income","2983c308-7f76-4afe-80d2-036ce1fbe6ea","7840e5a5-e01b-44a0-b719-d44779d73085",2026-03-28T16:00:00Z,2026-02-26T07:50:05Z,,1000,,,"IV-02813","031204fe-bc01-4b4c-905a-26461a582730","https://colivingmanagement.bukku.my/l/bfXyqwM1T8","2cf0712d-2d16-4843-b80e-a2b438b20421","d8128379-b03b-4326-8477-8f46c578d327","cf4141b1-c24e-4fc1-930e-cfea4329b178",53,1,,10853,2026-02-26T07:50:14Z,"a1b06860-22d8-4493-ae60-65dfd19af60e",
"May 2026 - SKS Pavillion B-21-01 Master Room 2 - Rental Income","04a49227-1e35-4ae3-a3d7-342ccc27c196","9e34211e-2029-454e-9d19-2176ebc75aff",2026-05-01T00:00:00Z,2026-02-26T05:29:53Z,,1200,,,"IV-02810","032afc45-e1f7-48ff-91a0-134f298f5e3b","https://colivingmanagement.bukku.my/l/aHMYWcGrv6","e83a5d2c-dd1e-422e-b3de-eeb6438cc45e","84f71b2e-e52c-4365-b2ac-423e52e23c2c","cf4141b1-c24e-4fc1-930e-cfea4329b178",53,1,,10850,2026-02-26T05:30:11Z,"4603e922-975d-4dea-a482-3cce8a0e1539",
"January - Meridin Bayvue B1-10-05 Master Room - Rental Income","acd1c031-63a5-49e7-b384-14f2a60afae0","7e68c424-aa3d-4ef6-bdd2-b6e4b0b621f6",2026-01-01T04:00:00Z,2025-10-30T04:17:59Z,true,800,2026-01-03T09:49:03Z,"https://colivingmanagement.bukku.my/l/c42XwsUTnq","IV-02452","03823f89-b500-4335-bc79-90c05d5c92bb","https://colivingmanagement.bukku.my/l/dWe4KSQd5R","beaf7c8c-e161-4e8f-b30e-376c0d94be25","26e78ff1-68a4-43bc-a855-7516a19b4c64","cf4141b1-c24e-4fc1-930e-cfea4329b178",53,1,"RC-mjy4c3ou",10227,2026-02-19T08:59:02Z,"f7e698cb-0d8d-42d1-91c8-b9ff12f1486f","817f6510-47ac-4f8f-9828-d2fd91cb406f"
